srr	condition_type	treatment	conc_intens	start_time	end_time	time_unit
SRR2518197	treatment	LIF	1000 U/mL			
SRR2518197	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518198	treatment	LIF	1000 U/mL			
SRR2518198	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518199	treatment	LIF	1000 U/mL			
SRR2518199	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518200	treatment	LIF	1000 U/mL			
SRR2518200	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518201	treatment	LIF	1000 U/mL			
SRR2518201	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518202	treatment	LIF	1000 U/mL			
SRR2518202	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518203	treatment	LIF	1000 U/mL			
SRR2518203	treatment	doxycycline	2 microg/mL	-3	0	day
SRR2518204	treatment	LIF	1000 U/mL			
SRR2518204	treatment	doxycycline	2 microg/mL	-3	0	day
SRR1744498	no treatment					
SRR1744499	no treatment					
SRR1744500	treatment	DRB	100 mM	-3	0	hr
SRR1744501	treatment	DRB	100 mM	-3	0	hr
SRR1744502	treatment	DRB	100 mM	-190	-10	min
SRR1744503	treatment	DRB	100 mM	-190	-10	min
SRR1744504	treatment	DRB	100 mM	-200	-20	min
SRR1744505	treatment	DRB	100 mM	-200	-20	min
SRR1744506	treatment	DRB	100 mM	-210	-30	min
SRR1744507	treatment	DRB	100 mM	-210	-30	min
SRR1744508	no treatment					
SRR1744509	no treatment					
SRR1744510	treatment	DRB	100 mM	-3	0	hr
SRR1744511	treatment	DRB	100 mM	-3	0	hr
SRR1744512	treatment	DRB	100 mM	-190	-10	min
SRR1744513	treatment	DRB	100 mM	-190	-10	min
SRR1744514	treatment	DRB	100 mM	-200	-20	min
SRR1744515	treatment	DRB	100 mM	-200	-20	min
SRR1744516	treatment	DRB	100 mM	-210	-30	min
SRR1744517	treatment	DRB	100 mM	-210	-30	min
SRR7824015	no treatment					
SRR7824016	no treatment					
SRR7824017	no treatment					
SRR7824018	no treatment					
SRR1041870	no treatment					
SRR1041871	treatment	influenza virus strain PR8-delta-NS1	MOI 5	-4	0	hr
SRR1041872	no treatment					
SRR1041873	treatment	influenza virus strain PR8-delta-NS1	MOI 5	-4	0	hr
SRR1873285	treatment	reelin	10 nM	-1	0	hr
SRR1873284	no treatment					
SRR6927837	treatment	KL-2	20 microM	-6	0	hr
SRR6927838	treatment	KL-1	20 microM	-6	0	hr
SRR6927839	vehicle	DMSO	NA or not known	-6	0	hr
SRR2820481	no treatment					
SRR2820482	no treatment					
SRR2820483	no treatment					
SRR2820484	no treatment					
SRR2820485	no treatment					
SRR2820486	no treatment					
SRR2820487	no treatment					
SRR2820488	no treatment					
SRR2820489	no treatment					
SRR2820490	no treatment					
SRR2820491	no treatment					
SRR2820492	no treatment					
SRR1275489	vehicle	DMSO	NA or not known	-2	0	day
SRR1275490	vehicle	DMSO	NA or not known	-2	0	day
SRR1275491	treatment	leflunomide	25 microM	-2	0	day
SRR1275492	treatment	leflunomide	25 microM	-2	0	day
SRR1275493	treatment	A771726	25 microM	-2	0	day
SRR1275494	treatment	A771726	25 microM	-2	0	day
SRR1554311	no treatment					
SRR1554312	no treatment					
SRR1552484	no treatment					
SRR1552485	no treatment					
SRR1552480	no treatment					
SRR1552481	no treatment					
SRR1552482	no treatment					
SRR1552483	no treatment					
SRR7722984	treatment	lipopolysaccharide	25 microg/mL	-1	0	day
SRR7722984	treatment	interleukin-4	5 ng/mL	-1	0	day
SRR7722985	treatment	lipopolysaccharide	25 microg/mL	-1	0	day
SRR7722985	treatment	interleukin-4	5 ng/mL	-1	0	day
SRR7722986	treatment	lipopolysaccharide	25 microg/mL	-1	0	day
SRR7722986	treatment	interleukin-4	5 ng/mL	-1	0	day
SRR826209	no treatment					
SRR826210	no treatment					
SRR826211	no treatment					
SRR826212	no treatment					
SRR826213	no treatment					
SRR826214	no treatment					
SRR826215	no treatment					
SRR826216	no treatment					
SRR826217	no treatment					
SRR826218	no treatment					
SRR826219	no treatment					
SRR826220	no treatment					
SRR826221	no treatment					
SRR826222	no treatment					
SRR826223	no treatment					
SRR826224	no treatment					
SRR868693	no treatment					
SRR826225	no treatment					
SRR826226	no treatment					
SRR826227	no treatment					
SRR2960994	treatment	bromouridine	2 mM	-30	0	min
SRR2960995	treatment	bromouridine	2 mM	-30	0	min
SRR2960996	treatment	bromouridine	2 mM	-390	-360	min
SRR2960997	treatment	bromouridine	2 mM	-390	-360	min
SRR2960998	treatment	ultraviolet C	1 J/m^2/s	-1825	-1800	s
SRR2960998	treatment	bromouridine	2 mM	-30	0	min
SRR2960999	treatment	ultraviolet C	1 J/m^2/s	-1825	-1800	s
SRR2960999	treatment	bromouridine	2 mM	-30	0	min
SRR2961000	treatment	ultraviolet C	1 J/m^2/s	-1900	-1800	s
SRR2961000	treatment	bromouridine	2 mM	-30	0	min
SRR2961001	treatment	ultraviolet C	1 J/m^2/s	-1900	-1800	s
SRR2961001	treatment	bromouridine	2 mM	-30	0	min
SRR2961002	treatment	bromouridine	2 mM	-30	0	min
SRR2961003	treatment	bromouridine	2 mM	-30	0	min
SRR2961004	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961004	treatment	bromouridine	2 mM	-30	0	min
SRR2961005	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961005	treatment	bromouridine	2 mM	-30	0	min
SRR2961006	treatment	TNF-alpha	10 ng/mL	-90	-30	min
SRR2961006	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961006	treatment	bromouridine	2 mM	-30	0	min
SRR2961007	treatment	TNF-alpha	10 ng/mL	-90	-30	min
SRR2961007	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961007	treatment	bromouridine	2 mM	-30	0	min
SRR2961008	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961008	treatment	bromouridine	2 mM	-30	0	min
SRR2961009	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961009	treatment	bromouridine	2 mM	-30	0	min
SRR2961010	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961010	treatment	bromouridine	2 mM	-30	0	min
SRR2961011	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961011	treatment	bromouridine	2 mM	-30	0	min
SRR2961012	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961012	treatment	bromouridine	2 mM	-30	0	min
SRR2961013	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961013	treatment	bromouridine	2 mM	-30	0	min
SRR2961014	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961014	treatment	bromouridine	2 mM	-30	0	min
SRR2961015	treatment	ultraviolet C	1 J/m^2/s	-1820	-1800	s
SRR2961015	treatment	bromouridine	2 mM	-30	0	min
SRR3713700	vehicle	DMSO	NA or not known	-1	0	hr
SRR3713701	treatment	JQ1	250 nM	-1	0	hr
SRR3713702	treatment	MS417	125 nM	-1	0	hr
SRR3713703	vehicle	DMSO	NA or not known	-3	0	hr
SRR3713704	treatment	JQ1	250 nM	-3	0	hr
SRR3713705	treatment	MS417	125 nM	-3	0	hr
SRR3713712	no treatment					
SRR3713713	no treatment					
SRR3713714	treatment	JQ1	250 nM	-15	0	min
SRR3713715	treatment	JQ1	250 nM	-15	0	min
SRR3713716	treatment	JQ1	250 nM	-30	0	min
SRR3713717	treatment	JQ1	250 nM	-30	0	min
SRR3713718	vehicle	DMSO	NA or not known	-1	0	hr
SRR3713719	treatment	JQ1	250 nM	-1	0	hr
SRR3500459	treatment	PJ34	1 microM	-1	0	hr
SRR2724029	vehicle	ethanol	NA or not known	-40	0	min
SRR2724030	vehicle	ethanol	NA or not known	-40	0	min
SRR2724031	vehicle	ethanol	NA or not known	-40	0	min
SRR2724032	vehicle	ethanol	NA or not known	-40	0	min
SRR13632937	treatment	17-beta-estradiol	NA or not known	-40	0	min
SRR13632938	treatment	17-beta-estradiol	NA or not known	-40	0	min
SRR13632939	treatment	17-beta-estradiol	NA or not known	-40	0	min
SRR13632940	treatment	17-beta-estradiol	NA or not known	-40	0	min
SRR5227979	treatment	charcoal-stripped FBS	10%	-3	0	day
SRR5227980	treatment	charcoal-stripped FBS	10%	-3	0	day
SRR5227981	treatment	thymidine	2 mM	-44	-26	hr
SRR5227981	treatment	thymidine	2 mM	-17	0	hr
SRR5227982	treatment	thymidine	2 mM	-44	-26	hr
SRR5227982	treatment	thymidine	2 mM	-17	0	hr
SRR5227983	treatment	thymidine	2 mM	-39	-15	hr
SRR5227983	treatment	nocodazole	200 ng/mL	-12	0	hr
SRR5227985	treatment	thymidine	2 mM	-39	-15	hr
SRR5227985	treatment	nocodazole	200 ng/mL	-12	0	hr
SRR1745522	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745523	no treatment					
SRR1745525	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745525	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745515	no treatment					
SRR1745524	no treatment					
SRR1745517	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745516	no treatment					
SRR1745518	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745530	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745530	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745521	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745519	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745519	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745520	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745520	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745526	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745526	treatment	activin A	100 ng/mL	-6	0	hr
SRR1745527	no treatment					
SRR1745528	no treatment					
SRR1745529	treatment	Wnt3a	200 ng/mL	-6	0	hr
SRR1745529	treatment	Activin A	100 ng/mL	-6	0	hr
SRR1035898	no treatment					
SRR1035899	treatment	VEGF-A165	50 ng/mL	-2	0	hr
SRR1035900	no treatment					
SRR1035901	treatment	VEGF-A165	50 ng/mL	-2	0	hr
SRR1406747	no treatment					
SRR1406748	treatment	VEGF-A165	50 ng/mL	-2	0	hr
SRR7010982	no treatment					
SRR7010983	no treatment					
SRR7010984	no treatment					
SRR8206345	treatment	various	NA or not known			
SRR5298779	no treatment					
SRR5298780	no treatment					
SRR5298781	no treatment					
SRR5298782	no treatment					
SRR5298783	no treatment					
SRR5298784	no treatment					
SRR5298785	no treatment					
SRR5298786	no treatment					
SRR5298787	no treatment					
SRR5298788	no treatment					
SRR5298789	no treatment					
SRR5298790	no treatment					
SRR5298791	no treatment					
SRR1219737	treatment	RPMI/B27	NA or not known	-3	0	day
SRR1219737	treatment	activin	50 ng/mL	-2	0	day
SRR574824	no treatment					
SRR574825	no treatment					
SRR574826	no treatment					
SRR574827	treatment	RPMI/B27	NA or not known	-1	0	day
SRR574828	treatment	RPMI/B27	NA or not known	-1	0	day
SRR574829	treatment	RPMI/B27	NA or not known	-25	0	hr
SRR574829	treatment	activin	50 ng/mL	-1	0	hr
SRR574830	treatment	RPMI/B27	NA or not known	-25	0	hr
SRR574830	treatment	activin	50 ng/mL	-1	0	hr
SRR574831	treatment	RPMI/B27	NA or not known	-3	0	day
SRR574831	treatment	activin	50 ng/mL	-2	0	day
SRR5466770	no treatment					
SRR935093	no treatment					
SRR935094	no treatment					
SRR935095	no treatment					
SRR935096	no treatment					
SRR935097	treatment	flavopiridol	300 nM	-2	0	min
SRR935098	treatment	flavopiridol	300 nM	-2	0	min
SRR935099	treatment	flavopiridol	300 nM	-2	0	min
SRR935100	treatment	flavopiridol	300 nM	-2	0	min
SRR935101	treatment	flavopiridol	300 nM	-5	0	min
SRR935102	treatment	flavopiridol	300 nM	-5	0	min
SRR935103	treatment	flavopiridol	300 nM	-5	0	min
SRR935104	treatment	flavopiridol	300 nM	-5	0	min
SRR935105	treatment	flavopiridol	300 nM	-750	0	s
SRR935106	treatment	flavopiridol	300 nM	-750	0	s
SRR935107	treatment	flavopiridol	300 nM	-750	0	s
SRR935108	treatment	flavopiridol	300 nM	-750	0	s
SRR935109	treatment	flavopiridol	300 nM	-25	0	min
SRR935110	treatment	flavopiridol	300 nM	-25	0	min
SRR935111	treatment	flavopiridol	300 nM	-25	0	min
SRR935112	treatment	flavopiridol	300 nM	-25	0	min
SRR935113	treatment	flavopiridol	300 nM	-50	0	min
SRR935114	treatment	flavopiridol	300 nM	-50	0	min
SRR935115	treatment	flavopiridol	300 nM	-50	0	min
SRR935116	treatment	flavopiridol	300 nM	-50	0	min
SRR935117	vehicle	DMSO	0.0125%	-50	0	min
SRR935118	vehicle	DMSO	0.0125%	-50	0	min
SRR935119	treatment	triptolide	500 nM	-750	0	s
SRR935120	treatment	triptolide	500 nM	-750	0	s
SRR935121	treatment	triptolide	500 nM	-25	0	min
SRR935122	treatment	triptolide	500 nM	-25	0	min
SRR935123	treatment	triptolide	500 nM	-50	0	min
SRR935124	treatment	triptolide	500 nM	-50	0	min
SRR1233867	no treatment					
SRR1233868	treatment	rosiglitazone	1 microM	-10	0	min
SRR1233869	treatment	rosiglitazone	1 microM	-30	0	min
SRR1233870	treatment	rosiglitazone	1 microM	-1	0	hr
SRR1233871	treatment	rosiglitazone	1 microM	-3	0	hr
SRR1233872	no treatment					
SRR1233873	treatment	rosiglitazone	1 microM	-10	0	min
SRR1233874	treatment	rosiglitazone	1 microM	-30	0	min
SRR1233875	treatment	rosiglitazone	1 microM	-1	0	hr
SRR1233876	treatment	rosiglitazone	1 microM	-3	0	hr
SRR1574538	no treatment					
SRR1574539	no treatment					
SRR3317155	no treatment					
SRR3317156	no treatment					
SRR3317157	no treatment					
SRR3317158	no treatment					
SRR3317159	no treatment					
SRR3317160	no treatment					
SRR3317161	no treatment					
SRR3317162	no treatment					
SRR3317163	no treatment					
SRR3317164	no treatment					
SRR5382455	no treatment					
SRR5382456	no treatment					
SRR5382457	no treatment					
SRR5382458	no treatment					
SRR5382459	no treatment					
SRR5382460	no treatment					
SRR5382461	no treatment					
SRR5382462	no treatment					
SRR5382463	no treatment					
SRR5382464	no treatment					
SRR5382465	no treatment					
SRR5382466	no treatment					
SRR5382467	no treatment					
SRR5382468	no treatment					
SRR6837045	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR6837046	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR6837047	vehicle	PBS	NA or not known	-1	0	hr
SRR6837048	vehicle	PBS	NA or not known	-1	0	hr
SRR5508392	no treatment					
SRR5508393	no treatment					
SRR5508394	no treatment					
SRR5508395	treatment	G-CSF	10 ng/mL	-1	0	day
SRR5508396	treatment	G-CSF	10 ng/mL	-1	0	day
SRR5508397	no treatment					
SRR5508398	no treatment					
SRR5508399	no treatment					
SRR5508400	no treatment					
SRR5508401	no treatment					
SRR5508402	no treatment					
SRR1542320	vehicle	ethanol	NA or not known	-1	0	hr
SRR1542321	treatment	17-beta-estradiol	100nM	-1	0	hr
SRR1542322	vehicle	ethanol	NA or not known	-1	0	hr
SRR1542323	treatment	17-beta-estradiol	100nM	-1	0	hr
SRR1542324	vehicle	DMSO	NA or not known	-1	0	hr
SRR1542325	treatment	retinoic acid	1 microM	-1	0	hr
SRR1542326	treatment	17-beta-estradiol	100nM	-1	0	hr
SRR1542327	vehicle	DMSO	NA or not known	-1	0	hr
SRR1542328	treatment	retinoic acid	1 microM	-1	0	hr
SRR1542329	treatment	17-beta-estradiol	100nM	-1	0	hr
SRR1542330	vehicle	ethanol	NA or not known	-1	0	hr
SRR1542331	treatment	17-beta-estradiol	100nM	-1	0	hr
SRR1542332	vehicle	ethanol	NA or not known	-1	0	hr
SRR1542333	treatment	17-beta-estradiol	100nM	-1	0	hr
SRR8482948	no treatment					
SRR8482947	no treatment					
SRR8482946	no treatment					
SRR8482945	no treatment					
SRR8608074	treatment	auxin	500 microM	-90	0	min
SRR8608073	treatment	auxin	500 microM	-90	0	min
SRR8608072	treatment	auxin	500 microM	-90	0	min
SRR8608071	treatment	auxin	500 microM	-90	0	min
SRR8608070	treatment	auxin	500 microM	-90	0	min
SRR8608069	treatment	auxin	500 microM	-90	0	min
SRR8608068	treatment	auxin	500 microM	-90	0	min
SRR8608067	treatment	auxin	500 microM	-90	0	min
SRR8608066	no treatment					
SRR8608065	no treatment					
SRR8608064	no treatment					
SRR8608063	no treatment					
SRR8608062	no treatment					
SRR8608061	no treatment					
SRR8608060	no treatment					
SRR8608059	no treatment					
SRR8608058	no treatment					
SRR8608057	no treatment					
SRR8608056	no treatment					
SRR8608055	no treatment					
SRR8608054	treatment	auxin	500 microM	-3	0	hr
SRR8608053	treatment	auxin	500 microM	-3	0	hr
SRR8608052	vehicle	DMSO	NA or not known	-3	0	hr
SRR8608051	vehicle	DMSO	NA or not known	-3	0	hr
SRR3728893	treatment	TNF-alpha	1000 U/mL	-2	0	hr
SRR3728892	treatment	TNF-alpha	1000 U/mL	-2	0	hr
SRR3728891	vehicle	DMSO 	NA or not known	-2	0	hr
SRR3728890	vehicle	DMSO 	NA or not known	-2	0	hr
SRR3728889	treatment	dihydrotestosterone	100 nM	-2	0	hr
SRR3728888	treatment	dihydrotestosterone	100 nM	-2	0	hr
SRR3728887	treatment	dihydrotestosterone	100 nM	-2	0	hr
SRR3728887	treatment	TNF-alpha	1000 U/mL	-2	0	hr
SRR3728886	treatment	dihydrotestosterone	100 nM	-2	0	hr
SRR3728886	treatment	TNF-alpha	1000 U/mL	-2	0	hr
SRR7746868	no treatment					
SRR7746869	no treatment					
SRR7746870	no treatment					
SRR7746871	no treatment					
SRR7746872	no treatment					
SRR7746873	no treatment					
SRR7746874	no treatment					
SRR7746875	no treatment					
SRR7746876	no treatment					
SRR7746877	no treatment					
SRR7746878	no treatment					
SRR7746879	no treatment					
SRR7746880	no treatment					
SRR7746881	no treatment					
SRR7746882	no treatment					
SRR7746883	no treatment					
SRR7746884	no treatment					
SRR7746885	no treatment					
SRR7746886	no treatment					
SRR7746887	no treatment					
SRR7746888	no treatment					
SRR7746889	no treatment					
SRR7746890	no treatment					
SRR7746891	no treatment					
SRR7746892	no treatment					
SRR7746893	no treatment					
SRR7746894	no treatment					
SRR7746895	no treatment					
SRR7746896	no treatment					
SRR7746897	no treatment					
SRR7746898	no treatment					
SRR7746899	no treatment					
SRR7746900	treatment	triptolide	1 microM	-10	0	min
SRR7746901	treatment	triptolide	1 microM	-10	0	min
SRR7746902	treatment	triptolide	1 microM	-10	0	min
SRR7746903	treatment	triptolide	1 microM	-10	0	min
SRR7746904	vehicle	DMSO	NA or not known	-10	0	min
SRR7746905	vehicle	DMSO	NA or not known	-10	0	min
SRR7746906	vehicle	DMSO	NA or not known	-10	0	min
SRR7746907	vehicle	DMSO	NA or not known	-10	0	min
SRR5448830	no treatment					
SRR5448829	no treatment					
SRR5448828	no treatment					
SRR5448827	no treatment					
SRR5448826	no treatment					
SRR5448825	no treatment					
SRR5448824	no treatment					
SRR5448823	no treatment					
SRR5448822	no treatment					
SRR5448821	no treatment					
SRR5861742	vehicle	DMSO	NA or not known			
SRR5861743	vehicle	DMSO	NA or not known			
SRR5861744	vehicle	DMSO	NA or not known			
SRR5861745	vehicle	DMSO	NA or not known			
SRR5861746	vehicle	DMSO	NA or not known			
SRR5861747	vehicle	DMSO	NA or not known			
SRR5861748	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR5861749	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR5861750	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR5861751	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR5861752	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR5861753	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR5861754	treatment	gamma-secretase inhibitor	1 microM	-4325	-5	min
SRR5861755	treatment	gamma-secretase inhibitor	1 microM	-4325	-5	min
SRR5861756	treatment	gamma-secretase inhibitor	1 microM	-4325	-5	min
SRR5861757	treatment	gamma-secretase inhibitor	1 microM	-4325	-5	min
SRR5861758	treatment	gamma-secretase inhibitor	1 microM	-4325	-5	min
SRR5861759	treatment	gamma-secretase inhibitor	1 microM	-4325	-5	min
SRR5861760	treatment	gamma-secretase inhibitor	1 microM	-4330	-10	min
SRR5861761	treatment	gamma-secretase inhibitor	1 microM	-4330	-10	min
SRR5861762	treatment	gamma-secretase inhibitor	1 microM	-4330	-10	min
SRR5861763	treatment	gamma-secretase inhibitor	1 microM	-4330	-10	min
SRR5861764	treatment	gamma-secretase inhibitor	1 microM	-4330	-10	min
SRR5861765	treatment	gamma-secretase inhibitor	1 microM	-4330	-10	min
SRR5861766	treatment	gamma-secretase inhibitor	1 microM	-4340	-20	min
SRR5861767	treatment	gamma-secretase inhibitor	1 microM	-4340	-20	min
SRR5861768	treatment	gamma-secretase inhibitor	1 microM	-4340	-20	min
SRR5861769	treatment	gamma-secretase inhibitor	1 microM	-4340	-20	min
SRR5861770	treatment	gamma-secretase inhibitor	1 microM	-4340	-20	min
SRR5861771	treatment	gamma-secretase inhibitor	1 microM	-4340	-20	min
SRR5861772	treatment	gamma-secretase inhibitor	1 microM	-4360	-40	min
SRR5861773	treatment	gamma-secretase inhibitor	1 microM	-4360	-40	min
SRR5861774	treatment	gamma-secretase inhibitor	1 microM	-4360	-40	min
SRR5861775	treatment	gamma-secretase inhibitor	1 microM	-4360	-40	min
SRR5861776	treatment	gamma-secretase inhibitor	1 microM	-4360	-40	min
SRR5861777	treatment	gamma-secretase inhibitor	1 microM	-4360	-40	min
SRR5861778	treatment	gamma-secretase inhibitor	1 microM	-4400	-80	min
SRR5861779	treatment	gamma-secretase inhibitor	1 microM	-4400	-80	min
SRR5861780	treatment	gamma-secretase inhibitor	1 microM	-4400	-80	min
SRR5861781	treatment	gamma-secretase inhibitor	1 microM	-4400	-80	min
SRR5861782	treatment	gamma-secretase inhibitor	1 microM	-4400	-80	min
SRR5861783	treatment	gamma-secretase inhibitor	1 microM	-4400	-80	min
SRR5861784	treatment	gamma-secretase inhibitor	1 microM	-4480	-160	min
SRR5861785	treatment	gamma-secretase inhibitor	1 microM	-4480	-160	min
SRR5861786	treatment	gamma-secretase inhibitor	1 microM	-4480	-160	min
SRR5861787	treatment	gamma-secretase inhibitor	1 microM	-4480	-160	min
SRR5861788	treatment	gamma-secretase inhibitor	1 microM	-4480	-160	min
SRR5861789	treatment	gamma-secretase inhibitor	1 microM	-4480	-160	min
SRR5861790	treatment	gamma-secretase inhibitor	1 microM	-4640	-320	min
SRR5861791	treatment	gamma-secretase inhibitor	1 microM	-4640	-320	min
SRR5861792	treatment	gamma-secretase inhibitor	1 microM	-4640	-320	min
SRR5861793	treatment	gamma-secretase inhibitor	1 microM	-4640	-320	min
SRR5861794	treatment	gamma-secretase inhibitor	1 microM	-4640	-320	min
SRR5861795	treatment	gamma-secretase inhibitor	1 microM	-4640	-320	min
SRR5861796	treatment	gamma-secretase inhibitor	1 microM	-4960	-640	min
SRR5861797	treatment	gamma-secretase inhibitor	1 microM	-4960	-640	min
SRR5861798	treatment	gamma-secretase inhibitor	1 microM	-4960	-640	min
SRR5861799	treatment	gamma-secretase inhibitor	1 microM	-4960	-640	min
SRR5861800	treatment	gamma-secretase inhibitor	1 microM	-4960	-640	min
SRR5861801	treatment	gamma-secretase inhibitor	1 microM	-4960	-640	min
SRR5929958	treatment	cold stress	18 Celsius	-15	0	min
SRR5929958	vehicle	DMSO	NA or not known	-5	0	min
SRR5929959	treatment	cold stress	18 Celsius	-15	0	min
SRR5929959	vehicle	DMSO	NA or not known	-5	0	min
SRR5929960	treatment	cold stress	18 Celsius	-15	0	min
SRR5929960	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929961	treatment	cold stress	18 Celsius	-15	0	min
SRR5929961	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929962	treatment	cold stress	18 Celsius	-15	0	min
SRR5929962	vehicle	DMSO	NA or not known	-5	0	min
SRR5929963	treatment	cold stress	18 Celsius	-15	0	min
SRR5929963	vehicle	DMSO	NA or not known	-5	0	min
SRR5929964	treatment	cold stress	18 Celsius	-15	0	min
SRR5929964	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929965	treatment	cold stress	18 Celsius	-15	0	min
SRR5929965	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929966	vehicle	DMSO	NA or not known	-5	0	min
SRR5929967	vehicle	DMSO	NA or not known	-5	0	min
SRR5929968	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929969	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929970	treatment	cold stress	18 Celsius	-15	0	min
SRR5929970	vehicle	DMSO	NA or not known	-5	0	min
SRR5929971	treatment	cold stress	18 Celsius	-15	0	min
SRR5929971	vehicle	DMSO	NA or not known	-5	0	min
SRR5929972	treatment	cold stress	18 Celsius	-15	0	min
SRR5929972	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929973	treatment	cold stress	18 Celsius	-15	0	min
SRR5929973	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929974	vehicle	DMSO	NA or not known	-5	0	min
SRR5929975	vehicle	DMSO	NA or not known	-5	0	min
SRR5929976	treatment	3MB-PP1	10 microM	-5	0	min
SRR5929977	treatment	3MB-PP1	10 microM	-5	0	min
SRR892016	no treatment					
SRR892017	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR892018	no treatment					
SRR892019	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR892025	no treatment					
SRR892026	no treatment					
SRR892027	no treatment					
SRR892028	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR892029	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR892030	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR836116	no treatment					
SRR836117	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR836118	no treatment					
SRR836119	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR1517780	treatment	light cycle	NA or not known	-1	0	hr
SRR1517781	treatment	light cycle	NA or not known	-4	0	hr
SRR1517782	treatment	light cycle	NA or not known	-7	0	hr
SRR1517783	treatment	light cycle	NA or not known	-10	0	hr
SRR1517784	treatment	light cycle	NA or not known	-13	-1	hr
SRR1517785	treatment	light cycle	NA or not known	-16	-4	hr
SRR1517786	treatment	light cycle	NA or not known	-19	-7	hr
SRR1517787	treatment	light cycle	NA or not known	-22	-10	hr
SRR1517788	treatment	light cycle	NA or not known	-10	0	hr
SRR1517789	treatment	light cycle	NA or not known	-22	-10	hr
SRR1517790	treatment	light cycle	NA or not known	-10	0	hr
SRR1517791	treatment	light cycle	NA or not known	-10	0	hr
SRR7519720	no treatment					
SRR7519719	no treatment					
SRR7519718	treatment	hepatocyte differentiation protocol 2	NA or not known			
SRR7519717	treatment	hepatocyte differentiation protocol 2	NA or not known			
SRR7519716	treatment	hepatocyte differentiation protocol 2	NA or not known			
SRR7519715	treatment	hepatocyte differentiation protocol 2	NA or not known			
SRR7519714	treatment	hepatocyte differentiation protocol 2	NA or not known			
SRR7519713	treatment	hepatocyte differentiation protocol 2	NA or not known			
SRR7519712	treatment	hepatocyte differentiation protocol 1	NA or not known			
SRR7519711	treatment	hepatocyte differentiation protocol 1	NA or not known			
SRR7519710	treatment	hepatocyte differentiation protocol 1	NA or not known			
SRR7519709	no treatment					
SRR7519708	no treatment					
SRR915731	vehicle	ethanol	NA or not known	-1	0	hr
SRR915732	vehicle	ethanol	NA or not known	-1	0	hr
SRR915733	treatment	17-beta-estradiol	10 nM	-1	0	hr
