search_term	db_term	term_category
phorbol 12-myristate 13-acetate	phorbol myristate acetate	treatment
ionomycin	ionomycin	treatment
THZ531	THZ531	treatment
THZ-531	THZ531	treatment
1-NM-PP1	1-NM-PP1	treatment
1NM-PP1	1-NM-PP1	treatment
4-thiouridine	4-thiouridine	treatment
4SU	4-thiouridine	treatment
4 thiouridine	4-thiouridine	treatment
4-SU	4-thiouridine	treatment
AZ'5576	AZ'5576	treatment
AZ5576	AZ'5576	treatment
anti-TAF1 C413 antibody	anti-TAF1 C413 antibody	treatment
antiTAF1 C413 antibody	anti-TAF1 C413 antibody	treatment
anti-TAF1 C413	anti-TAF1 C413 antibody	treatment
anti-TAF1	anti-TAF1 C413 antibody	treatment
antiTAF1	anti-TAF1 C413 antibody	treatment
mock treatment	mock treatment	treatment
copper sulfate	copper sulfate	treatment
CuSO4	copper sulfate	treatment
dTAG7	dTAG7	treatment
dTAG-7	dTAG7	treatment
dTAG47	dTAG47	treatment
dTAG-47	dTAG47	treatment
NVP2	NVP2	treatment
NVP 2	NVP2	treatment
NVP-2	NVP2	treatment
dTAGV-1	dTAGV-1	treatment
dTAGV1	dTAGV-1	treatment
INCB059872	INCB059872	treatment
INCB-059872	INCB059872	treatment
INCB 059872	INCB059872	treatment
phosphonoformic acid	phosphonoformic acid	treatment
PFA	phosphonoformic acid	treatment
phorbol myristate acetate	phorbol myristate acetate	treatment
PMA	phorbol myristate acetate	treatment
TPA	phorbol myristate acetate	treatment
tetradecanoylphorbol acetate	phorbol myristate acetate	treatment
nucleotides	nucleotides	treatment
BRM014	BRM014	treatment
BRM-014	BRM014	treatment
BRM 014	BRM014	treatment
GSK2879552	GSK2879552	treatment
LBH589	LBH589	treatment
panobinostat	LBH589	treatment
phenylephrine	phenylephrine	treatment
