srr	bigwig	tfit	mdscore	keyword	organism	tissue	general_celltype	specific_celltype	treatment_code	treated_or_like_treated	experiment_type	sample_name
SRR1823902	1	0	1	Niskanen2015	human	leukemia	K562	K562	control	no	GRO-seq	SRR1823902
SRR1823903	1	0	1	Niskanen2015	human	leukemia	K562	K562	heat_30min	yes	GRO-seq	SRR1823903
SRR1823904	1	0	1	Niskanen2015	human	leukemia	K562	K562	heat_30min	yes	GRO-seq	SRR1823904
SRR1916552	1	0	1	Elkon2015	human	bone_sarcoma	U2OS	U2OS+Myc	control	no	GRO-seq	SRR1916552
SRR1916553	1	0	1	Elkon2015	human	bone_sarcoma	U2OS	U2OS+Myc	Myc_activation_5hr	yes	GRO-seq	SRR1916553
SRR1916554	1	0	1	Elkon2015	human	bone_sarcoma	U2OS	U2OS+Myc	control	no	GRO-seq	SRR1916554
SRR1916555	1	0	1	Elkon2015	human	bone_sarcoma	U2OS	U2OS+Myc	Myc_activation_5hr	yes	GRO-seq	SRR1916555
SRR1928223	1	0	1	Mayer2015	human	kidney	HEK	HEK293T	none	no	NET-seq	SRZ1575923
SRR1930084	1	0	0									SRR1930084
SRR1930085	1	0	0									SRR1930085
SRR1930086	1	0	0									SRR1930086
SRR1930087	1	0	0									SRR1930087
SRR1930088	1	0	0									SRR1930088
SRR1930089	1	0	0									SRR1930089
SRR1930090	1	0	0									SRR1930090
SRR1930091	1	0	0									SRR1930091
SRR1950491	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	LUC_24hr	yes	GRO-seq	SRZ1950491
SRR1950492	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	LUC_24hr	yes	GRO-seq	SRZ1950491
SRR1950493	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	LUC_24hr	yes	GRO-seq	SRZ1950493
SRR1950494	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	LUC_24hr	yes	GRO-seq	SRZ1950493
SRR1950495	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_0hr	no	GRO-seq	SRZ1950495
SRR1950496	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_0hr	no	GRO-seq	SRZ1950495
SRR1950497	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_0hr	no	GRO-seq	SRZ1950497
SRR1950498	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_0hr	no	GRO-seq	SRZ1950497
SRR1950499	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_4hr	yes	GRO-seq	SRZ1950499
SRR1950500	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_4hr	yes	GRO-seq	SRZ1950499
SRR1950501	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_4hr	yes	GRO-seq	SRZ1950501
SRR1950502	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_4hr	yes	GRO-seq	SRZ1950501
SRR1950503	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_12hr	yes	GRO-seq	SRZ1950503
SRR1950504	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_12hr	yes	GRO-seq	SRZ1950503
SRR1950505	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_12hr	yes	GRO-seq	SRZ1950505
SRR1950506	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_12hr	yes	GRO-seq	SRZ1950505
SRR1950507	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_24hr	yes	GRO-seq	SRZ1950507
SRR1950508	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_24hr	yes	GRO-seq	SRZ1950507
SRR1950509	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_24hr	yes	GRO-seq	SRZ1950509
SRR1950510	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1_24hr	yes	GRO-seq	SRZ1950509
SRR1950511	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1mut_24hr	yes	GRO-seq	SRZ1950511
SRR1950512	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1mut_24hr	yes	GRO-seq	SRZ1950511
SRR1950513	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1mut_24hr	yes	GRO-seq	SRZ1950513
SRR1950514	1	0	1	Teppo2016	human	Myeloid	preB-cell	Nalm6	TEL-AML1mut_24hr	yes	GRO-seq	SRZ1950513
SRR1951426	1	0	0	Heinaniemi2016	human	leukemia	Nalm6	Nalm6	control	no	GRO-seq	SRR1951426
SRR1951427	1	0	0	Heinaniemi2016	human	leukemia	Nalm6	Nalm6	stromalCells_24hr	yes	GRO-seq	SRR1951427
SRR1951428	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	control	no	GRO-seq	SRZ1951428
SRR1951429	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	control	no	GRO-seq	SRZ1951428
SRR1951430	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	control	no	GRO-seq	SRZ1951430
SRR1951431	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	control	no	GRO-seq	SRZ1951430
SRR1951432	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	control	no	GRO-seq	SRR1951432
SRR1951434	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	stromalCells_24hr	yes	GRO-seq	SRR1951434
SRR1951435	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	stromalCells_48hr	yes	GRO-seq	SRR1951435
SRR1951436	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	difA-stromalCells_24hr	yes	GRO-seq	SRR1951436
SRR1951437	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	difO-stromalCells_24hr	yes	GRO-seq	SRR1951437
SRR2059423	1	0	0									SRR2059423
SRR2059424	1	0	0									SRR2059424
SRR2084576	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084576
SRR2084577	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084576
SRR2084578	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084576
SRR2084579	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084576
SRR2084580	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084580
SRR2084581	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084580
SRR2084582	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084580
SRR2084583	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	shPAF1	yes	GRO-seq	SRZ2084580
SRR2084584	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084584
SRR2084585	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084584
SRR2084586	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084584
SRR2084587	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084584
SRR2084588	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084588
SRR2084589	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084588
SRR2084590	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084588
SRR2084591	1	1	1	Chen2015	human	colon_cancer	HCT116	HCT116	control	no	GRO-seq	SRZ2084588
SRR2153508	1	0	1	Salony2016	human	breast_adenocarcinoma	MCF7	MCF7_AKT1low	DMSO_Akti_72hr	yes	GRO-seq	SRR2153508
SRR2153509	1	0	1	Salony2016	human	breast_adenocarcinoma	MCF7	MCF7_AKT1low	DMSO_Akti_72hr	yes	GRO-seq	SRR2153509
SRR2153510	1	0	1	Salony2016	human	breast_adenocarcinoma	MCF7	MCF7_AKT1wt	DMSO_Akti_72hr	yes	GRO-seq	SRR2153510
SRR2153511	1	0	1	Salony2016	human	breast_adenocarcinoma	MCF7	MCF7_AKT1wt	DMSO_Akti_72hr	yes	GRO-seq	SRR2153511
SRR2153512	1	0	1	Salony2016	human	colon_carcinoma	HCT116	HCT116_AKT1low	DMSO_Akti_72hr	yes	GRO-seq	SRR2153512
SRR2153513	1	0	1	Salony2016	human	colon_carcinoma	HCT116	HCT116_AKT1low	DMSO_Akti_72hr	yes	GRO-seq	SRR2153513
SRR2153514	1	0	1	Salony2016	human	colon_carcinoma	HCT116	HCT116_AKT1wt	DMSO_Akti_72hr	yes	GRO-seq	SRR2153514
SRR2153515	1	0	1	Salony2016	human	colon_carcinoma	HCT116	HCT116_AKT1wt	DMSO_Akti_72hr	yes	GRO-seq	SRR2153515
SRR2724029	1	0	0	Gibson2016	human	breast_cancer	MCF7	MCF7_LuciferaseKD	vehicle	no	GRO-seq	SRR2724029
SRR2724030	1	0	0	Gibson2016	human	breast_cancer	MCF7	MCF7_LuciferaseKD	vehicle	no	GRO-seq	SRR2724030
SRR2724031	1	0	0	Gibson2016	human	breast_cancer	MCF7	MCF7_PARP1KD	vehicle	no	GRO-seq	SRR2724031
SRR2724032	1	0	0	Gibson2016	human	breast_cancer	MCF7	MCF7_PARP1KD	vehicle	no	GRO-seq	SRR2724032
SRR2960994	1	0	1	Magnuson2015	human	leukemia	K562	K562	control_NA_.5hr_0hr_NA	no	Bru-seq	SRZ2960994
SRR2960995	1	0	1	Magnuson2015	human	leukemia	K562	K562	control_NA_.5hr_0hr_NA	no	Bru-seq	SRZ2960994
SRR2960996	1	0	1	Magnuson2015	human	leukemia	K562	K562	control_NA_.5hr_6hr_.5hr	no	Bru-seq	SRZ2960996
SRR2960997	1	0	1	Magnuson2015	human	leukemia	K562	K562	control_NA_.5hr_6hr_.5hr	no	Bru-seq	SRZ2960996
SRR2960998	1	0	1	Magnuson2015	human	leukemia	K562	K562	uv25J/m^2_0hr_.5hr_0hr_.5hr	yes	Bru-seq	SRZ2960998
SRR2960999	1	0	1	Magnuson2015	human	leukemia	K562	K562	uv25J/m^2_0hr_.5hr_0hr_.5hr	yes	Bru-seq	SRZ2960998
SRR2961000	1	0	1	Magnuson2015	human	leukemia	K562	K562	uv100J/m^2_0hr_.5hr_0hr_.5hr	yes	Bru-seq	SRZ2961000
SRR2961001	1	0	1	Magnuson2015	human	leukemia	K562	K562	uv100J/m^2_0hr_.5hr_0hr_.5hr	yes	Bru-seq	SRZ2961000
SRR2961002	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	control_NA_.5hr_0hr_NA	no	Bru-seq	SRZ2961002
SRR2961003	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	control_NA_.5hr_0hr_NA	no	Bru-seq	SRZ2961002
SRR2961004	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961004
SRR2961005	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961004
SRR2961006	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_.5hr	yes	Bru-seq	SRZ2961006
SRR2961007	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_.5hr	yes	Bru-seq	SRZ2961006
SRR2961008	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961008
SRR2961009	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961008
SRR2961010	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961008
SRR2961011	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961008
SRR2961012	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961012
SRR2961013	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961012
SRR2961014	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961012
SRR2961015	1	0	1	Magnuson2015	human	foreskin_fibroblasts	HF1	HF1	uv20J/m^2_0hr_.5hr_0hr_NA	yes	Bru-seq	SRZ2961012
SRR3500459	1	0	0	Gibson2016	human	breast_cancer	MCF7	MCF7_LuciferaseKD	PJ34_1hr	yes	GRO-seq	SRR3500459
SRR3535362	1	0	0									SRR3535362
SRR3535363	1	0	0									SRR3535363
SRR3535364	1	0	0									SRR3535364
SRR3535365	1	0	0									SRR3535365
SRR3728886	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	DHT+TNFa_2hr	yes	GRO-seq	SRR3728886
SRR3728887	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	DHT+TNFa_2hr	yes	GRO-seq	SRR3728887
SRR3728888	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	DHT_2hr	yes	GRO-seq	SRR3728888
SRR3728889	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	DHT_2hr	yes	GRO-seq	SRR3728889
SRR3728890	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	DMSO_2hr	yes	GRO-seq	SRR3728890
SRR3728891	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	DMSO_2hr	yes	GRO-seq	SRR3728891
SRR3728892	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	TNFa_2hr	yes	GRO-seq	SRR3728892
SRR3728893	1	0	0	Malinen2016	human	prostate_cancer	LNCaP	LNCaP	TNFa_2hr	yes	GRO-seq	SRR3728893
SRR3923617	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	Etoh_2hr	yes	GRO-seq	SRR3923617
SRR3923618	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	Etoh_2hr	yes	GRO-seq	SRR3923618
SRR3923619	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	R1881_30min	yes	GRO-seq	SRR3923619
SRR3923620	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	R1881_30min	yes	GRO-seq	SRR3923620
SRR3923621	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	R1881_2hr	yes	GRO-seq	SRR3923621
SRR3923622	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	R1881_2hr	yes	GRO-seq	SRR3923622
SRR4001595	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	Etoh_4hr	yes	GRO-seq	SRR4001595
SRR4001596	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	Etoh_4hr	yes	GRO-seq	SRR4001596
SRR4001597	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	DHT_4hr	yes	GRO-seq	SRR4001597
SRR4001598	1	0	0	Toropainen2016	human	prostate_cancer	VCaP	VCaP	DHT_4hr	yes	GRO-seq	SRR4001598
SRR408117	1	1	1	Marazzi2012	human	lung	Epithelial	A549	none	no	GRO-seq	SRR408117
SRR408118	1	1	1	Marazzi2012	human	lung	Epithelial	A549	Flag-NS1_12hr	yes	GRO-seq	SRR408118
SRR408119	1	1	1	Marazzi2012	human	lung	Epithelial	A549	delta-PAF_12hr	yes	GRO-seq	SRR408119
SRR4782130	1	0	0	Heinaniemi2016	human	leukemia	REH	REH	stromalCells_24hr	yes	GRO-seq	SRZ1951433
SRR497904	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497904
SRR497904	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497904
SRR497905	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497904
SRR497905	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497904
SRR497906	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497904
SRR497906	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497904
SRR497907	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497907
SRR497907	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497907
SRR497908	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497907
SRR497908	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497907
SRR497909	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497907
SRR497909	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497907
SRR497910	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ497907
SRR497910	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRM497907
SRR497911	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRR497911
SRR497911	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRM497911
SRR497912	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ497912
SRR497912	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRM497912
SRR497913	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ497912
SRR497913	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRM497912
SRR497914	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497914
SRR497914	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497914
SRR497915	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497914
SRR497915	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497914
SRR497916	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497914
SRR497916	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497914
SRR497917	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497917
SRR497917	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497917
SRR497918	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497917
SRR497918	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497917
SRR497919	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497917
SRR497919	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497917
SRR497920	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRZ497917
SRR497920	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_40min	yes	GRO-seq	SRM497917
SRR497921	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_160min	yes	GRO-seq	SRR497921
SRR497922	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_160min	yes	GRO-seq	SRZ497922
SRR497923	1	1	1	Hah2013	human	breast_cancer	MCF7	MCF7	E2_160min	yes	GRO-seq	SRZ497922
SRR5034773	1	0	0									SRR5034773
SRR5034774	1	0	0									SRR5034774
SRR5085734	1	0	0									SRR5085734
SRR5085735	1	0	0									SRR5085735
SRR5085736	1	0	0									SRR5085736
SRR5085737	1	0	0									SRR5085737
SRR5085738	1	0	0									SRR5085738
SRR5085739	1	0	0									SRR5085739
SRR5085894	1	0	0									SRR5085894
SRR5085895	1	0	0									SRR5085895
SRR5085896	1	0	0									SRR5085896
SRR5085897	1	0	0									SRR5085897
SRR5085898	1	0	0									SRR5085898
SRR5085899	1	0	0									SRR5085899
SRR5085900	1	0	0									SRR5085900
SRR5227979	1	0	0									SRR5227979
SRR5227980	1	0	0									SRR5227980
SRR5227981	1	0	0									SRR5227981
SRR5227982	1	0	0									SRR5227982
SRR5227983	1	0	0									SRR5227983
SRR5227985	1	0	0									SRR5227985
SRR531824	1	1	1	Wang2014	human	Myeloid	B-cell	B-cell	none	no	GRO-seq	SRR531824
SRR531825	1	1	1	Wang2014	human	Myeloid	B-cell	B-cell	none	no	GRO-seq	SRR531825
SRR531826	1	1	1	Wang2014	human	Myeloid	B-cell	B-cell	none	no	PRO-seq	SRR531826
SRR574824	1	1	1	Sigova2013	human	ESC	H1	H1	none	no	GRO-seq	SRR574824
SRR574825	1	1	1	Sigova2013	human	ESC	H1	H1	none	no	GRO-seq	SRR574825
SRR574826	1	1	1	Sigova2013	human	ESC	H1	H1	none	no	GRO-seq	SRR574826
SRR574827	1	1	1	Sigova2013	human	ESC	H1	H1	Activin_0hr	yes	GRO-seq	SRR574827
SRR574828	1	1	1	Sigova2013	human	ESC	H1	H1	Activin_0hr	yes	GRO-seq	SRR574828
SRR574829	1	1	1	Sigova2013	human	ESC	H1	H1	Activin_1hr	yes	GRO-seq	SRR574829
SRR574830	1	1	1	Sigova2013	human	ESC	H1	H1	Activin_1hr	yes	GRO-seq	SRR574830
SRR574831	1	1	1	Sigova2013	human	ESC	H1	H1	Activin_48hr	yes	GRO-seq	SRR574831
SRR579293	1	1	1	Danko2013	human	heart	AC16	AC16	vehicle	no	GRO-seq	SRR579293
SRR579294	1	1	1	Danko2013	human	heart	AC16	AC16	vehicle	no	GRO-seq	SRR579294
SRR579295	1	1	1	Danko2013	human	heart	AC16	AC16	TNFa_10min	yes	GRO-seq	SRR579295
SRR579296	1	1	1	Danko2013	human	heart	AC16	AC16	TNFa_10min	yes	GRO-seq	SRR579296
SRR579297	1	1	1	Danko2013	human	heart	AC16	AC16	TNFa_30min	yes	GRO-seq	SRR579297
SRR579298	1	1	1	Danko2013	human	heart	AC16	AC16	TNFa_30min	yes	GRO-seq	SRR579298
SRR579299	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579300	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579301	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579302	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579303	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579304	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579305	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579306	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579307	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579308	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579309	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579299
SRR579310	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579311	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579312	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579313	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579314	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579315	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579316	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579317	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579318	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579310
SRR579319	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579319
SRR579320	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579319
SRR579321	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579319
SRR579322	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579319
SRR579323	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	vehicle	no	GRO-seq	SRZ579319
SRR579324	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579325	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579326	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579327	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579328	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579329	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579330	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579331	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579332	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579333	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579334	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579324
SRR579335	1	1	1	Danko2013	human	breast_cancer	MCF7	MCF7	E2_10min	yes	GRO-seq	SRZ579335
